"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P4";"USB_A";1;"USB_A";;;
2;"P1";"Pin_Header_Angled_1x13_Pitch2.54mm";1;"EXPANSION_LEFT";;;
3;"W28,W23,W21,W22,W24,W12,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W13,W14,W25,W26,W27,W29,W16";"Measurement_Point_Square-SMD-Pad_Small";23;"TEST_1P";;;
4;"U3";"SOIC-28";1;"MCP23017";;;
5;"P8";"JST_PH_S2B-PH-SM4-TB_02x2.00mm_Angled";1;"CONN_01X02";;;
6;"R5,R6,R7";"R_0805_HandSoldering";3;"1K";;;
7;"C20,C21,C16,C17,C18,C19";"C_0603";6;"10pF";;;
8;"JP3";"GS3";1;"A0";;;
9;"JP6";"GS3";1;"A2";;;
10;"JP4";"GS3";1;"A1";;;
11;"W11";"Measurement_Point_Square-SMD-Pad_Small";1;"BAT_IN";;;
12;"C5,C6,C7,C8,C13,C14,C25,C15";"C_0805";8;"100nF";;;
13;"P6";"Pin_Header_Straight_1x07_Pitch2.54mm";1;"ATMEGA_HEADER";;;
14;"P5";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"AUDIO_CONN";;;
15;"C22,C23,C24";"C_0603";3;"33pF";;;
16;"D1";"D_MiniMELF_Handsoldering";1;"SS14";;;
17;"JP1,JP5,JP2";"GS2";3;"JUMPER";;;
18;"JP8";"GS3";1;"CA/CC";;;
19;"P3";"Pin_Header_Angled_1x05_Pitch2.54mm";1;"EXPANSION_TOP";;;
20;"Q1,Q4";"SOT-23_Handsoldering";2;"IRLML6401";;;
21;"R1,R2,R3,R10,R8,R9,R11";"R_0805_HandSoldering";7;"10K";;;
22;"P2";"Pin_Header_Angled_1x04_Pitch2.54mm";1;"EXPANSION_BOTTOM";;;
23;"P7";"Pin_Header_Angled_1x02_Pitch2.54mm";1;"EXPANSION_BOTTOM2";;;
24;"U1";"pi0outline";1;"PI ZERO";;;
25;"U2";"SIM800_BREAKOUT";1;"SIM800_BREAKOUT";;;
26;"U4";"TP4056_BREAKOUT";1;"TP4056_BREAKOUT";;;
27;"U6";"DC-DC-BREAKOUT";1;"DC_DC_BREAKOUT";;;
28;"JP7";"GS3";1;"3V3/5V";;;
29;"JP9,JP10";"GS2";2;"Jumper_NC_Small";;;
30;"Q2,Q3";"SOT-23_Handsoldering";2;"BSS138";;;
31;"U5";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"RTC";;;
32;"Y1";"Crystal_SMD_G8-2pin_3.2x1.5mm_HandSoldering";1;"32.768Hz";;;
33;"C4";"CP_Tantalum_Case-B_EIA-3528-21_Hand";1;"10uF";;;
34;"W15";"Measurement_Point_Square-SMD-Pad_Small";1;"RTC_BAT";;;
35;"D3";"RGB_5050";1;"Led_RGB_CA_CC";;;
